datum,imputerad,lower_95,upper_95
2023-02-23,18.83960000009785,18.683639437776016,18.995560562419683
2023-03-16,19.13709999969177,18.98113943729363,19.29306056208991
2023-06-22,18.329600000102744,18.173639437704605,18.485560562500883
2023-07-06,18.28960000015901,18.098588101378297,18.48061189893972
2023-07-13,18.294600000220164,18.074038458005116,18.515161542435212
2023-07-20,18.299600000281323,18.10858810150061,18.490611899062035
2023-12-21,18.974599999774945,18.818639437376806,19.130560562173084
2024-02-29,19.157099999946183,19.001139437548044,19.313060562344322
2024-03-21,18.927100000205485,18.771139437807346,19.083060562603624
2024-04-18,18.99459999998043,18.83863943758229,19.15056056237857
2024-05-30,18.63960000001468,18.483639437616542,18.79556056241282
2024-06-27,18.254600000051372,18.098639437653233,18.41056056244951
2024-07-11,18.122099999924167,17.931088101143455,18.31311189870488
2024-07-18,18.029599999951074,17.809038457736026,18.250161542166122
2024-07-25,17.937099999977985,17.746088101197273,18.128111898758696
2024-08-08,17.75460000008236,17.59863943768422,17.910560562480498
2024-08-22,17.656266666918906,17.476178921669323,17.83635441216849
2024-08-29,17.647933333677987,17.467845588428403,17.82802107892757
2024-11-14,18.319600000122314,18.163639437724175,18.475560562520453
2024-11-28,18.369600000083175,18.213639437685035,18.525560562481314
2024-12-12,18.504599999895625,18.32451225464604,18.684687745145208
2024-12-19,18.534599999938028,18.354512254688444,18.71468774518761
2025-01-09,18.671266666674278,18.491178921424694,18.85135441192386
2025-01-16,18.757933333218087,18.577845587968504,18.93802107846767
2025-01-30,18.809599999807965,18.618588101027253,19.000611898588676
2025-02-06,18.774599999854036,18.55403845763899,18.995161542069084
2025-02-13,18.739599999900108,18.548588101119396,18.93061189868082
2025-02-27,18.64209999996086,18.451088101180147,18.83311189874157
2025-03-06,18.579599999975535,18.359038457760487,18.800161542190583
2025-03-13,18.517099999990215,18.326088101209503,18.708111898770927
2025-03-27,18.394600000003912,18.197323759242074,18.59187624076575
2025-04-03,18.334600000002933,18.092986936079477,18.57621306392639
2025-04-10,18.274600000001957,18.0329869360785,18.516213063925413
2025-04-17,18.214600000000978,18.01732375923914,18.411876240762815
2025-05-01,18.094599999990216,17.938639437592077,18.250560562388355
2025-12-18,18.644599999814083,18.488639437415944,18.800560562212222
